Episode,Reward
25,-0.96896
50,-0.86464
75,-0.72568
100,-1.0044
125,-0.86672
150,-0.8648
175,-1.00552
200,-1.00624
225,-0.72464
250,-0.58568
275,-1.00504
300,-0.8672
325,-0.86544
350,-0.86664
375,-1.00464
400,-1.00488
425,-1.0044
450,-0.86584
475,-0.44576
500,-0.02424
525,-0.72656
550,-0.72592
575,-0.72752
600,-0.86496
625,-0.72424
650,-0.58736
675,-0.58728
700,-0.58704
725,-0.58712
750,-0.72824
775,-0.16856
800,-0.584
825,-0.30664
850,0.10976
875,-0.30808
900,-0.16864
925,0.53032
950,-0.4468
975,-0.02648
1000,0.11224
1025,2.3568
1050,2.5
1075,2.5
1100,1.23384
1125,1.2336
1150,2.35744
1175,2.5
1200,2.5
1225,2.5
1250,2.5
1275,2.5
1300,2.5
1325,2.5
1350,2.5
1375,2.5
1400,2.5
1425,2.5
1450,2.5
1475,2.5
1500,2.5
1525,2.5
1550,2.5
1575,2.5
1600,2.5
1625,2.5
1650,2.5
1675,2.5
1700,2.5
1725,2.5
1750,2.5
1775,2.5
1800,2.5
1825,2.5
1850,2.5
1875,2.5
1900,2.5
1925,2.5
1950,2.5
1975,2.5
2000,2.5
Episode,Reward
25,-0.96896
50,-0.86464
75,-0.72568
100,-1.0032
125,-0.72728
150,-0.86424
175,-1.00472
200,-1.00536
225,-1.00384
250,-0.30632
275,-0.86336
300,-0.72392
325,-0.86616
350,-0.44544
375,-0.86368
400,-0.16512
425,-0.86488
450,-0.30544
475,-0.7232
500,-0.30448
525,-0.16568
550,0.11512
575,0.11384
600,0.25064
625,-0.30712
650,0.11584
675,0.67272
700,1.23288
725,1.3716
750,1.65144
775,2.07224
800,0.81
825,1.79296
850,2.20952
875,2.35
900,1.7888
925,2.21304
950,2.49616
975,2.4956
1000,2.49672
1025,2.49544
1050,2.49568
1075,2.49064
1100,2.48872
1125,2.49488
1150,2.492
1175,2.48896
1200,2.47872
1225,2.49176
1250,2.488
1275,2.48336
1300,2.48184
1325,2.4864
1350,2.48208
1375,2.4868
1400,2.48616
1425,2.48256
1450,2.48104
1475,2.48096
1500,2.48088
1525,2.47952
1550,2.48584
1575,2.4852
1600,2.48384
1625,2.4896
1650,2.48144
1675,2.48536
1700,2.47184
1725,2.4884
1750,2.48128
1775,2.4876
1800,2.47432
1825,2.48552
1850,2.4828
1875,2.48672
1900,2.48928
1925,2.4904
1950,2.48032
1975,2.47624
2000,2.48824
Episode,Reward
25,-1.10792
50,-1.00672
75,0.11456
100,0.1144
125,0.11376
150,1.37544
175,1.51688
200,2.35776
225,1.65648
250,2.49784
275,2.49976
300,1.93776
325,2.21672
350,2.4968
375,2.4988
400,2.49696
425,2.49744
450,2.49784
475,2.49736
500,2.4976
525,2.49784
550,2.49616
575,2.4976
600,2.4964
625,2.4976
650,2.4964
675,2.49736
700,2.4976
725,2.4976
750,2.4976
775,2.49664
800,2.49736
825,2.4964
850,2.49736
875,2.49616
900,2.49736
925,2.4964
950,2.49664
975,2.49688
1000,2.49688
1025,2.49664
1050,2.49784
1075,2.49616
1100,2.49688
1125,2.49688
1150,2.49712
1175,2.49784
1200,2.4976
1225,2.49664
1250,2.49784
1275,2.49784
1300,2.49664
1325,2.49664
1350,2.4976
1375,2.49808
1400,2.49784
1425,2.49832
1450,2.49688
1475,2.49784
1500,2.49688
1525,2.49736
1550,2.49712
1575,2.49688
1600,2.49832
1625,2.49688
1650,2.4976
1675,2.49784
1700,2.49712
1725,2.49784
1750,2.49688
1775,2.49688
1800,2.49712
1825,2.49808
1850,2.49664
1875,2.49808
1900,2.4976
1925,2.49784
1950,2.49736
1975,2.49736
2000,2.49832
Episode,Reward
Episode,Reward
25,-0.96792
50,-0.72544
75,0.11536
100,-0.02528
125,0.39416
150,1.796
175,2.35592
200,2.21608
225,1.79616
250,1.65552
275,2.3524
300,2.0724
325,2.49304
350,2.35368
375,2.21464
400,2.49384
425,2.49456
450,2.49632
475,2.49288
500,2.4928
525,2.49312
550,2.48608
575,2.4916
600,2.49168
625,2.48056
650,2.48792
675,2.4872
700,2.48536
725,2.482
750,2.48872
775,2.47968
800,2.48912
825,2.49008
850,2.49176
875,2.49032
900,2.48816
925,2.4856
950,2.48936
975,2.49384
1000,2.49176
1025,2.4896
1050,2.47992
1075,2.48976
1100,2.49184
1125,2.49416
1150,2.49064
1175,2.4876
1200,2.49512
1225,2.4884
1250,2.49336
1275,2.49112
1300,2.49128
1325,2.4844
1350,2.49416
1375,2.49328
1400,2.48912
1425,2.48104
1450,2.49168
1475,2.48912
1500,2.49472
1525,2.4896
1550,2.49536
1575,2.48904
1600,2.49368
1625,2.4956
1650,2.48976
1675,2.48856
1700,2.494
1725,2.49216
1750,2.49432
1775,2.49416
1800,2.49656
1825,2.49448
1850,2.48976
1875,2.49536
1900,2.49048
1925,2.49648
1950,2.49088
1975,2.49672
2000,2.49192
Episode,Reward
Episode,Reward
25,-0.96792
50,-0.72544
75,0.11536
100,-0.02528
125,0.39416
150,1.796
175,2.35592
200,2.21608
225,1.79616
250,1.65552
275,2.3524
300,2.0724
325,2.49304
350,2.35368
375,2.21464
400,2.49384
425,2.49456
450,2.49632
475,2.49288
500,2.4928
525,2.49312
550,2.48608
575,2.4916
600,2.49168
625,2.48056
650,2.48792
675,2.4872
700,2.48536
725,2.482
750,2.48872
775,2.47968
800,2.48912
825,2.49008
850,2.49176
875,2.49032
900,2.48816
925,2.4856
950,2.48936
975,2.49384
1000,2.49176
1025,2.4896
1050,2.47992
1075,2.48976
1100,2.49184
1125,2.49416
1150,2.49064
1175,2.4876
1200,2.49512
1225,2.4884
1250,2.49336
1275,2.49112
1300,2.49128
1325,2.4844
1350,2.49416
1375,2.49328
1400,2.48912
1425,2.48104
1450,2.49168
1475,2.48912
1500,2.49472
1525,2.4896
1550,2.49536
1575,2.48904
1600,2.49368
1625,2.4956
Episode,Reward
Episode,Reward
Episode,Reward
Episode,Reward
25,-0.8452
50,-0.62416
75,-0.56568
100,-0.66752
125,-0.02568
150,0.37464
175,0.99424
200,1.8332
225,2.07288
250,1.69368
275,2.11296
300,2.49208
325,2.49272
350,2.48984
375,2.48984
400,2.4876
425,2.48744
450,2.4868
475,2.48472
500,2.34232
525,2.48536
550,2.48056
575,2.48152
600,2.47768
625,2.47672
650,2.48056
675,2.47688
700,2.47544
725,2.47864
750,2.47048
775,2.4748
800,2.47896
825,2.47784
850,2.48088
875,2.47608
900,2.47416
925,2.47976
950,2.47352
975,2.48168
1000,2.47848
1025,2.46936
1050,2.48104
1075,2.48472
1100,2.47592
1125,2.4836
1150,2.47176
1175,2.47848
1200,2.47368
1225,2.4836
1250,2.48136
1275,2.47832
1300,2.47848
1325,2.47832
